,city,population_2016,NumEstablisments,NumRoutineInspections,SafetyGroupCnt_High,SafetyGroupPcnt_High,SafetyGroupCnt_Lower,SafetyGroupPcnt_Lower
0,federal way,93670,431,1023.0,18.0,4.18,9.0,2.09
1,seattle,686800,5306,13096.0,186.0,3.51,230.0,4.33
2,des moines,30570,83,206.0,8.0,9.64,1.0,1.2
3,issaquah,34590,246,721.0,7.0,2.85,8.0,3.25
4,bothell,26590,105,397.0,10.0,9.52,17.0,16.19
5,kent,124500,584,1333.0,35.0,5.99,17.0,2.91
6,seatac,27810,62,135.0,1.0,1.61,1.0,1.61
7,tukwila,19540,206,547.0,1.0,0.49,16.0,7.77
8,bellevue,139400,742,2021.0,11.0,1.48,53.0,7.14
9,renton,101300,506,1273.0,13.0,2.57,21.0,4.15
10,kirkland,84680,405,921.0,5.0,1.23,11.0,2.72
11,mercer island,23660,72,121.0,2.0,2.78,0.0,0.0
12,burien,50000,173,407.0,10.0,5.78,6.0,3.47
13,auburn,67340,325,656.0,19.0,5.85,3.0,0.92
14,redmond,60560,398,1258.0,13.0,3.27,29.0,7.29
15,north bend,6570,72,137.0,9.0,12.5,0.0,0.0
16,snoqualmie,13110,69,171.0,11.0,15.94,1.0,1.45
17,shoreline,54990,199,651.0,23.0,11.56,17.0,8.54
18,black diamond,4305,20,33.0,0.0,0.0,0.0,0.0
19,enumclaw,11410,99,176.0,3.0,3.03,0.0,0.0
20,woodinville,11570,224,324.0,2.0,0.89,0.0,0.0
21,maple valley,24790,107,239.0,17.0,15.89,0.0,0.0
22,algona,3175,8,22.0,0.0,0.0,0.0,0.0
23,lake forest park,12940,29,75.0,1.0,3.45,1.0,3.45
24,newcastle,11090,28,38.0,1.0,3.57,0.0,0.0
25,kenmore,22320,58,193.0,1.0,1.72,8.0,13.79
26,skykomish,200,11,22.0,0.0,0.0,0.0,0.0
27,covington,18750,72,143.0,6.0,8.33,0.0,0.0
28,duvall,7425,40,122.0,3.0,7.5,4.0,10.0
29,normandy park,6540,18,35.0,5.0,27.78,0.0,0.0
30,sammamish,61250,88,183.0,9.0,10.23,2.0,2.27
31,carnation,1850,29,54.0,5.0,17.24,0.0,0.0
32,pacific,6835,12,27.0,0.0,0.0,0.0,0.0
33,medina,3165,5,11.0,1.0,20.0,0.0,0.0
34,clyde hill,3060,4,7.0,0.0,0.0,0.0,0.0
