Line,Filter,County,Jurisdiction,2010 Population Census ,2011 Population Estimate ,2012 Population Estimate ,2013 Population Estimate ,2014 Population Estimate ,2015 Population Estimate ,2016 Population Estimate 
141,2,King,Unincorporated King County,"325,000","285,265","255,720","253,100","252,050","253,280","245,920"
142,3,King,Incorporated King County,"1,606,249","1,657,335","1,701,280","1,728,800","1,765,200","1,799,520","1,859,180"
143,4,King,Algona,"3,014","3,055","3,070","3,075","3,090","3,105","3,175"
144,4,King,Auburn,"62,761","63,050","63,390","64,320","65,350","65,950","67,340"
145,4,King,Beaux Arts Village,299,300,300,290,295,300,300
146,4,King,Bellevue,"122,363","123,400","124,600","132,100","134,400","135,000","139,400"
147,4,King,Black Diamond,"4,153","4,160","4,170","4,170","4,180","4,200","4,305"
148,4,King,Bothell,"17,090","17,150","17,280","17,440","24,610","25,410","26,590"
149,4,King,Burien,"33,313","47,660","47,730","48,030","48,240","48,810","50,000"
150,4,King,Carnation,"1,786","1,780","1,785","1,785","1,790","1,790","1,850"
151,4,King,Clyde Hill,"2,984","2,985","2,980","2,980","2,995","3,020","3,060"
152,4,King,Covington,"17,575","17,640","17,760","18,100","18,480","18,520","18,750"
153,4,King,Des Moines,"29,673","29,680","29,700","29,730","30,030","30,100","30,570"
154,4,King,Duvall,"6,695","6,715","6,900","7,120","7,325","7,345","7,425"
155,4,King,Enumclaw,"10,669","10,920","11,030","11,100","11,110","11,140","11,410"
156,4,King,Federal Way,"89,306","89,370","89,460","89,720","90,150","90,760","93,670"
157,4,King,Hunts Point,394,390,390,395,405,410,415
158,4,King,Issaquah,"30,434","30,690","31,150","32,130","32,880","33,330","34,590"
159,4,King,Kenmore,"20,460","20,780","21,020","21,170","21,370","21,500","22,320"
160,4,King,Kent,"92,411","118,200","119,100","120,500","121,400","122,900","124,500"
161,4,King,Kirkland,"48,787","49,020","81,480","81,730","82,590","83,460","84,680"
162,4,King,Lake Forest Park,"12,598","12,610","12,640","12,680","12,750","12,810","12,940"
163,4,King,Maple Valley,"22,684","22,930","23,340","23,910","24,230","24,700","24,790"
164,4,King,Medina,"2,969","2,970","2,990","3,000","3,055","3,095","3,165"
165,4,King,Mercer Island,"22,699","22,710","22,690","22,720","23,310","23,480","23,660"
166,4,King,Milton,831,835,835,840,915,"1,010","1,070"
167,4,King,Newcastle,"10,380","10,410","10,460","10,640","10,850","10,940","11,090"
168,4,King,Normandy Park,"6,335","6,345","6,350","6,350","6,375","6,420","6,540"
169,4,King,North Bend,"5,731","5,830","5,855","6,020","6,280","6,460","6,570"
170,4,King,Pacific,"6,514","6,520","6,535","6,675","6,750","6,770","6,835"
171,4,King,Redmond,"54,144","55,150","55,360","55,840","57,700","59,180","60,560"
172,4,King,Renton,"90,927","92,590","93,910","95,540","97,130","98,470","101,300"
173,4,King,Sammamish,"45,780","46,940","47,420","48,060","49,260","49,980","61,250"
174,4,King,SeaTac,"26,909","27,110","27,210","27,310","27,620","27,650","27,810"
175,4,King,Seattle,"608,660","612,100","616,500","626,600","640,500","662,400","686,800"
176,4,King,Shoreline,"53,007","53,200","53,270","53,670","53,990","54,500","54,990"
177,4,King,Skykomish,198,195,200,195,200,195,200
178,4,King,Snoqualmie,"10,670","10,950","11,320","11,700","12,130","12,850","13,110"
179,4,King,Tukwila,"19,107","19,050","19,080","19,160","19,210","19,300","19,540"
180,4,King,Woodinville,"10,938","10,940","10,960","10,990","11,240","11,240","11,570"
181,4,King,Yarrow Point,"1,001","1,005","1,060","1,015","1,015","1,020","1,040"
